LastActivity,AccountOwner,AccountName,State/Province,Type,Rating,LastModifiedDate,Country,HQCountry,AccountId,Region
7/11/19,Kateryna Hvastovich,Tata Consultancy Services USA TCS,New York,Prospective Partner,A - Active project (within 3 to 6  mths),11/22/19,United States,"",00130000005IanZAAS,NORTHEAST
10/22/19,Sonny Covington,Burlington Northern Santa Fe Railway,Texas,Prospect,"",6/19/20,United States,"",00130000004KLFUAA4,CENTRAL
7/30/20,Michael Kavalle,CUNA Mutual Group,Wisconsin,Prospect,B - Possible project (within 3-9 mths),6/19/20,United States,"",00130000004KLFoAAO,MIDWEST
12/13/17,Gary Griffith,CACI International Inc.,Virginia,Prospect,C - General Interest (cont. to market),8/13/19,United States,"",00130000004KLFzAAO,SOUTHEAST
2/23/20,Jason Pearson,CSAA Insurance Group,California,Ex-Customer,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLGLAA4,WEST
6/17/20,Joe Hliboki,Campbell Soup,New Jersey,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLGXAA4,NORTHEAST
2/13/19,Kyle Graves,Canadian Tire Corporation Limited,Ontario,Prospect,B - Possible project (within 3-9 mths),6/22/20,Canada,"",00130000004KLGwAAO,NORTHEAST
11/19/19,Tyler Bush,Capital BlueCross,Pennsylvania,Ex-Customer,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLH9AAO,MIDWEST
12/4/19,Mark Ronson,Capital Group,California,Prospect,"",6/19/20,United States,"",00130000004KLHDAA4,WEST
7/20/20,Christopher Marra,Capital One Financial Corp.,Virginia,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLHGAA4,SOUTHEAST
12/18/18,Tyler Bush,Cardinal Health,Ohio,Prospect,"",6/19/20,United States,"",00130000004KLHLAA4,MIDWEST
2/8/18,Joe Hliboki,Catholic Health Services of Long Island,New York,Prospect,"",6/19/20,United States,"",00130000004KLHpAAO,NORTHEAST
5/24/13,Tyler Bush,Catholic Healthcare Partners,Ohio,Prospect,"",5/12/20,United States,"",00130000004KLHqAAO,MIDWEST
9/18/15,Michael Kavalle,CCC Information Services Group Inc.,Illinois,Prospect,"",4/1/20,United States,"",00130000004KLHtAAO,MIDWEST
4/11/19,Michael Kavalle,CDW Corporation,Illinois,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLI0AAO,MIDWEST
"",Sonny Covington,Centerpoint Energy (Formerly Reliant Energy),Texas,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLIGAA4,CENTRAL
4/10/20,Gary Griffith,Centers for Medicare and Medicaid Services(CMS),Maryland,Prospect,B - Possible project (within 3-9 mths),3/16/20,United States,"",00130000004KLIIAA4,NORTHEAST
6/29/20,Michael Kavalle,Northwestern Mutual,Wisconsin,Prospect,C - General Interest (cont. to market),7/24/20,United States,"",00130000004KQ70AAG,MIDWEST
8/12/14,Patrick McGrath,Norton Healthcare Inc,Kentucky,Prospect,"",8/13/19,United States,"",00130000004KQ72AAG,SOUTHEAST
6/16/20,Joe Hliboki,Novartis,New Jersey,Prospect,B - Possible project (within 3-9 mths),7/24/20,United States,"",00130000004KQ78AAG,NORTHEAST
9/29/09,Amy Rankin,Novell Inc.,UT,Prospect,C - General Interest (cont. to market),4/7/20,United States,"",00130000004KQ7BAAW,WEST
2/19/19,Patrick McGrath,Oak Ridge National Laboratory,Tennessee,Prospect,"",6/19/20,United States,"",00130000004KQ7aAAG,SOUTHEAST
7/25/20,Tho Yeong Chien,Oversea-Chinese Banking Corporation Limited,"",Prospect,"",7/29/20,Singapore,"",00130000004KQ7gAAG,APAC
7/27/11,Gary Griffith,OCE North America Inc,Florida,Prospect,"",2/24/20,United States,"",00130000004KQ7iAAG,SOUTHEAST
6/9/17,Sonny Covington,OGE Energy Corporation,Oklahoma,Prospect,B - Possible project (within 3-9 mths),6/19/20,United States,"",00130000004KQ7uAAG,CENTRAL
