LastActivity,AccountOwner,AccountName,State/Province,Type,Rating,LastModifiedDate,Country,HQCountry,AccountId,Region
11/12/19,Tho Yeong Chien,Krungthai Bank,null,Prospect,null,7/29/20,Thailand,null,0010z00001Wh1eRAAR,APAC
8/1/19,Tho Yeong Chien,DTS CORPORATION,null,Prospective Partner,null,7/3/20,Japan,null,0010z00001WgCISAA3,APAC
7/30/20,Hubspot Integration,Jet Infosystems,null,Prospect,null,7/30/20,null,null,0010z00001aZpcWAAS,null
2/17/19,Amy Rankin,TE Connectivity,Schaffhausen,Prospect,null,6/19/20,Switzerland,null,0010z00001SWT9nAAH,WEST
7/29/20,Marilyn Von Hoenning,Swiss Re,null,Prospect,null,6/19/20,Switzerland,null,0010z00001SWTIyAAP,EMEA
2/19/19,Pavel Hruska,SAP,null,Prospect,null,6/19/20,Poland,null,0010z00001SWTAaAAP,EMEA
11/12/19,Tho Yeong Chien,King Power,null,Prospect,null,7/29/20,Thailand,null,0010z00001Wh7xSAAR,APAC
9/24/19,Gary Griffith,"Web.com Group, Inc.",Florida,Prospect,null,5/7/20,United States,null,0010z00001Wh5oIAAR,SOUTHEAST
5/19/20,Tho Yeong Chien,Dyson APAC,null,Prospect,null,7/29/20,Singapore,null,0010z00001ZqpWQAAZ,APAC
5/6/20,Danusa Ferry,Protegrity,Connecticut,Prospect,null,6/19/20,United States,null,0010z00001VE07iAAD,EMEA
1/23/20,Jason Pearson,Sonoma County Airport,California,Prospect,null,6/19/20,United States,null,0010z00001YBAGCAA5,WEST
3/19/20,Vincent Steenhuis,ACPL Systems Pvt. Ltd.,null,Partner,null,4/13/20,India,null,0010z00001YCN9YAAX,EMEA
5/21/20,Vincent Steenhuis,NEXI,null,Prospect,null,3/5/20,Italy,null,0010z00001SWopvAAD,EMEA
2/10/20,Pavel Hruska,Bank Millennium,null,Prospect,null,6/19/20,Poland,null,0010z00001SWnwjAAD,EMEA
null,Mark Ronson,Hoag Hospital,null,Prospect,null,6/19/20,United States,null,0010z00001ZrxVfAAJ,WEST
3/27/20,Dillon Fugate,"GlaxoSmithKline, Inc.",null,Prospect,null,3/27/20,null,null,0010z00001YD29JAAT,SOUTHEAST
7/6/20,Tho Yeong Chien,AXA APAC,null,Prospect,null,7/29/20,Singapore,null,0010z00001ZrBE1AAN,APAC
null,Simon Brender,Dai-ichi Life Insurance,Tokyo,Prospect,null,7/29/20,Japan,null,0010z00001YADVYAA5,APAC
null,Simon Brender,Docomo,Tokyo,Prospect,null,6/19/20,Japan,null,0010z00001YADVZAA5,APAC
3/27/20,Dillon Fugate,Synechron,null,Prospect,null,3/27/20,null,null,0010z00001YD2BFAA1,SOUTHEAST
3/27/20,Dillon Fugate,SAS Institute,null,Prospect,null,3/27/20,null,null,0010z00001YD2E5AAL,SOUTHEAST
3/27/20,Dillon Fugate,Bitwise,null,Prospect,null,3/27/20,null,null,0010z00001YD2CNAA1,SOUTHEAST
7/22/20,Gary Griffith,CNA,null,Prospect,null,6/19/20,United States,null,0010z00001Zr4ylAAB,null
3/27/20,Tim Ronan,Cognizant,null,Prospect,null,3/27/20,null,null,0010z00001YD2EyAAL,SOUTHEAST
null,Nishant Agarwal,Walmart MX,null,Prospect,null,6/17/20,null,null,0010z00001ZrxaLAAR,LATAM
5/20/20,Ian Stocks,Cyprus Government,null,Prospect,null,6/29/20,Cyprus,null,0010z00001Zr65HAAR,EMEA
6/22/20,Shannon Kimball,Moss Adams Wealth Advisors LLC,Washington,Prospect,null,3/11/20,United States,null,0010z00001YCNESAA5,WEST
3/27/20,Dillon Fugate,Endava,null,Prospect,null,3/27/20,null,null,0010z00001YD2BPAA1,SOUTHEAST
3/21/19,Tho Yeong Chien,Pricewaterhouse Coopers (APAC),Central Singapore Community Development Council,Prospective Partner,null,7/29/20,Singapore,null,0010z00001SWr5XAAT,APAC
4/1/19,Pavel Hruska,Roche Polska,null,Prospect,null,6/19/20,Poland,null,0010z00001SWsS6AAL,EMEA
3/27/20,Dillon Fugate,Twilio Inc.,null,Prospect,null,3/27/20,null,null,0010z00001YD29YAAT,SOUTHEAST
2/13/20,Tho Yeong Chien,Cyber Security Agency (CSA),null,Prospect,null,7/29/20,Singapore,null,0010z00001SWuGGAA1,APAC
1/29/20,Tho Yeong Chien,Singtel,null,Prospect,null,7/29/20,Singapore,null,0010z00001SWsafAAD,APAC
3/19/20,Tho Yeong Chien,Marina Bay Sands,Central Singapore Community Development Council,Prospect,null,7/29/20,Singapore,null,0010z00001SX0zSAAT,APAC
7/22/20,Tho Yeong Chien,National Computer Systems (NCS) Singapore,null,Prospective Partner,null,7/29/20,null,null,0010z00001ZqpSiAAJ,APAC
10/28/19,Tho Yeong Chien,Google Cloud - APAC,null,Partner,null,7/29/20,Singapore,null,0010z00001SWv17AAD,APAC
3/27/20,Dillon Fugate,Fidelity National Financial,Ohio,Prospect,null,6/19/20,United States,null,0010z00001YD28pAAD,SOUTHEAST
null,Robert Neely,Curve Group Holdings,null,Prospect,null,6/19/20,United Kingdom,null,0010z00001Zr5KQAAZ,EMEA
2/20/20,Tyler Bush,Hobsons,Ohio,Prospect,null,6/19/20,United States,null,0016000001GfTCfAAN,MIDWEST
null,Mike Washington,Network Rail Limited,England,Prospect,null,6/19/20,United Kingdom,null,0016000001GeEzcAAF,EMEA
6/24/19,Vincent Steenhuis,Societe Generale Securities Services S.p.A.,null,Prospect,null,3/5/20,Italy,null,0010z00001Ru4BqAAJ,EMEA
8/21/19,Gary Griffith,Marriott Vacations Worldwide Corporation,Florida,Prospect,null,6/19/20,United States,null,0010z00001TPHGFAA5,SOUTHEAST
7/13/20,Jason Pearson,Equinix,California,Prospect,null,6/19/20,United States,null,0016000001GfZOsAAN,WEST
12/14/16,Sonny Covington,"HomeAway.com, Inc.",Texas,Prospect,null,6/19/20,United States,null,0016000001HAucuAAD,CENTRAL
10/14/19,David Bain,Jetstar Airways,null,Prospect,null,7/29/20,null,null,0010z00001WiO7lAAF,APAC
5/28/19,Jason Pearson,"FireEye, Inc.",California,Prospect,null,6/19/20,United States,null,0016000001GfGANAA3,WEST
7/3/20,Kateryna Hvastovich,Tata America International Corporation (TCS),New York,Prospective Partner,null,11/22/19,United States,null,0016000001HEN2pAAH,NORTHEAST
6/16/20,Mark Ronson,"Illumina, Inc.",California,Prospect,null,6/19/20,United States,null,0016000001HDEWHAA5,WEST
6/24/19,Kateryna Hvastovich,"MapR Technologies, Inc.",California,Partner,null,11/22/19,United States,null,0016000001HDxSFAA1,WEST
7/30/20,Danusa Ferry,"Protegrity USA, Inc",Connecticut,Customer,null,7/1/20,United States,null,0016000001HE8xtAAD,NORTHEAST
8/7/18,Pavel Hruska,"Allianz pojistovna, a.s.",null,Prospect,null,3/5/20,Czech republic,null,0016000001HBbzBAAT,EMEA
